,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs
40,Sara Hubbard,Auburn,10.0,7.402884615384614,2022,9.9,9.845,9.877
41,Ruthuja Nataraj,Illinois,9.625,8.035714285714285,2022,9.9,9.819,9.86
42,Abby Singh,Western Michigan,9.775,7.964583333333333,2022,9.825,9.735,0.0
43,Sierra Muns,Texas Woman's,9.725,7.279411764705882,2022,9.85,9.743,9.785
44,Josephine Kogler,Maryland,9.7,7.422656250000001,2022,9.9,9.8,9.835
45,Victoria Gatzendorfer,Missouri,9.775,7.430208333333335,2022,0.0,0.0,0.0
46,Rachel Wilke,Iowa State,9.75,7.818478260869565,2022,0.0,0.0,0.0
47,Emmalise Nock,Northern Illinois,9.675,7.364285714285713,2022,9.9,9.636,9.675
48,Sarah Stallings,Temple,9.6,6.48913043478261,2022,9.85,9.685,9.775
49,Josie Bergstrom,Iowa State,9.7,7.298387096774194,2022,9.9,9.825,9.87
50,Makenzie Sedlacek,Arkansas,10.0,6.765000000000001,2022,9.9,9.811,9.835
51,Mya Robinson,Illinois State,9.75,7.325641025641025,2022,9.45,9.45,0.0
52,Marigold Garrett,Pennsylvania,9.675,6.264772727272729,2022,0.0,0.0,0.0
53,Alana Fisher,Eastern Michigan,9.625,7.332142857142856,2022,9.725,9.667,0.0
54,Isabella Garrett,Pennsylvania,9.6,7.418478260869567,2022,0.0,0.0,0.0
55,Karlie Chavez,Oregon State,9.95,7.262,2022,9.825,9.772,9.795
56,Emma Simpton,Nebraska,9.85,6.681578947368421,2022,0.0,0.0,0.0
57,Alyssa Beaulieu,New Hampshire,9.675,6.707575757575757,2022,0.0,0.0,0.0
58,Payton Gatzlaff,Lindenwood,9.65,7.28888888888889,2022,9.75,9.658,9.64
59,Gracy Mowers,New Hampshire,9.75,5.847222222222222,2022,9.9,9.775,9.79
60,Libby Garfoot,Pennsylvania,9.7,7.328125000000001,2019,9.65,9.65,0.0
61,Summer Simpkins,New Hampshire,9.725,7.261111111111111,2022,0.0,0.0,0.0
62,Sydney Beers,Cornell,9.7,7.296527777777779,2022,9.85,9.716,9.76
63,Ava Scafani,UC Davis,9.475,7.066666666666667,2022,0.0,0.0,0.0
64,Anna Pagliaro,Rutgers,9.725,7.4178571428571445,2022,9.75,9.707,9.71
65,Cami Weaver,Arkansas,9.725,6.717,2022,9.3,9.3,0.0
66,Kathryn Weilbacher,Bowling Green,9.8,6.811363636363635,2022,9.825,9.734,9.76
67,Keanna Abraham,UC Davis,9.8,5.041666666666667,2022,9.9,9.833,9.86
68,Kiana Session,Bridgeport,9.55,6.153333333333333,2022,9.65,9.586,9.615
69,Emily Pires,UC Davis,9.85,7.8500000000000005,2022,9.9,9.668,9.845
70,Hannah Stallings,Temple,9.825,7.174999999999999,2022,9.9,9.756,9.8
71,Morgan Romeis,Southern Conn.,9.675,7.018750000000001,2022,9.05,9.05,0.0
72,Carley Beeman,Oregon State,9.375,5.322413793103449,2022,0.0,0.0,0.0
73,Cheyenne Pratola,Kent State,9.275,6.666666666666667,2022,0.0,0.0,0.0
74,Hannah Clark,Cornell,9.325,5.5249999999999995,2013,0.0,0.0,0.0
75,Mallory Marcheli,Arizona State,9.675,6.645999999999999,2022,0.0,0.0,0.0
76,Trinity Caffey,Lindenwood,9.775,6.578787878787879,2022,9.75,9.589,9.7
77,Sophia Groth,Auburn,9.675,6.86875,2022,9.9,9.826,9.855
78,Melissa Earl,BYU,9.675,7.861538461538462,2022,9.5,9.5,0.0
79,Sierra Kondo,Maryland,9.6,6.460714285714285,2022,0.0,0.0,0.0
80,Rebekah Lashley,Pennsylvania,9.525,7.3394736842105255,2022,0.0,0.0,0.0
81,Emily Castiglia,Bowling Green,9.7,6.930208333333333,2022,0.0,0.0,0.0
82,Jillian Procasky,Kentucky,9.875,7.085416666666665,2022,9.9,9.804,9.85
83,Blake Pascal,Boise State,9.75,7.948214285714286,2022,0.0,0.0,0.0
84,Maya Jones,Rutgers,9.6,5.317857142857143,2022,0.0,0.0,0.0
85,Gabrielle Winstead,UW-Stout,9.425,6.10241935483871,2022,9.55,9.371,9.39
86,Keeley Smith,New Hampshire,9.3,9.21875,2009,0.0,0.0,0.0
87,Rachel Chesley,UW-La Crosse,9.625,5.232142857142858,2022,9.775,9.584,9.67
88,Caroline Blatchford,William & Mary,9.3,6.4035714285714285,2022,9.7,9.63,0.0
89,Lauren Keener,Towson,9.175,3.3729166666666663,2022,0.0,0.0,0.0
90,Katherine Weyhmiller,San Jose State,9.5,5.417307692307693,2022,0.0,0.0,0.0
91,Olivia Imbarlina,Bridgeport,9.3,6.501086956521741,2022,9.725,9.548,9.67
92,Grace Gilman,Sacramento State,9.525,6.241666666666667,2022,9.85,9.732,9.805
93,Sydney Kraez,Pennsylvania,9.8,7.4750000000000005,2019,9.825,9.655,9.805
94,Kate Michelini,Cornell,9.0,8.855,2022,0.0,0.0,0.0
95,Olivia Bowsman,Illinois,9.4,6.409375,2022,0.0,0.0,0.0
96,Trinity Johnson,San Jose State,9.45,5.590000000000001,2022,0.0,0.0,0.0
97,Isabela Krulich,UW-Stout,9.275,7.416666666666666,2022,9.475,9.275,9.235
98,Tessa Volpe,Air Force,9.525,5.750925925925926,2022,9.725,9.558,9.675
99,Emma David,Yale,9.3,5.185714285714286,2022,0.0,0.0,0.0
100,Amari Evans,Utah State,9.675,6.28,2022,0.0,0.0,0.0
101,Lindsey Smith,Illinois,9.275,9.275,2009,9.0,8.775,0.0
102,Richella Velarmino,UW-Whitewater,9.3,6.145833333333333,2022,0.0,0.0,0.0
103,Mia Davis,Towson,9.85,7.496428571428571,2022,9.85,9.763,9.815
104,Addie Liebhardt,Brown,9.425,6.183333333333334,2022,9.4,9.4,0.0
105,Kara Welsh,UW-Whitewater,9.7,7.272794117647058,2022,9.775,9.675,9.71
106,Athlyn Drage,Maryland,9.7,4.735227272727273,2022,0.0,0.0,0.0
107,Ayla McKean,Air Force,9.65,7.141406249999998,2022,9.825,9.71,9.77
108,Hailey Merchant,North Carolina State,9.65,6.955128205128204,2022,9.8,9.741,9.755
109,Natalie Marshall,West Chester,9.275,5.6171875,2022,0.0,0.0,0.0
110,Maya Belog,Springfield College,9.15,5.846874999999999,2022,9.325,9.325,0.0
111,Maya Pecoraro,Brockport,9.15,5.920833333333333,2022,0.0,0.0,0.0
112,Kaylie Goodwin,Ithaca College,9.3,6.070833333333334,2022,9.55,9.37,0.0
113,Marlena Bailey,Ithaca College,9.125,6.378571428571428,2022,0.0,0.0,0.0
114,Dallas Rachal,Ithaca College,9.65,7.06875,2022,9.65,9.395,9.51
115,Skye Cohen,Ithaca College,9.2,6.665625,2022,9.55,9.408,9.445
116,Rianna Adams,Cortland State,9.45,6.016666666666667,2022,9.45,9.253,9.295
117,Lily Ramsdell,Hamline,8.8,8.625,2022,0.0,0.0,0.0
118,Nyah Reader,S.E. Missouri,9.7,6.969117647058824,2022,9.675,9.54,9.575
119,Caitlin Pellegrino,Ithaca College,9.175,9.0625,2022,0.0,0.0,0.0
120,Oren Aviad,Yale,9.5,9.5,2022,9.825,9.358,9.655
121,Brynn Freehling,West Virginia,9.425,5.951470588235294,2022,0.0,0.0,0.0
122,Nicole Lonski,Ithaca College,9.15,5.553125,2022,0.0,0.0,0.0
123,Olivia Keyes,Rhode Island College,9.325,6.570833333333332,2022,9.5,9.353,9.455
124,Hannah Appleget,Lindenwood,9.7,7.52,2022,0.0,0.0,0.0
125,Summer Ruskey,Temple,9.9,7.246212121212121,2022,0.0,0.0,0.0
126,Sarah Zois,George Washington,9.675,5.982894736842105,2022,9.85,9.762,9.815
127,Grace Wehry,Kent State,9.55,6.534558823529412,2022,9.775,9.694,0.0
128,Brayden Battavio,Rutgers,9.525,5.682894736842105,2022,0.0,0.0,0.0
129,Brooke Alban,West Virginia,9.6,6.88804347826087,2022,9.825,9.75,9.785
130,Brooke McNamara,Bowling Green,9.625,7.8549999999999995,2022,9.65,9.61,0.0
131,Ciana Rios,Southern Conn.,9.275,7.458333333333334,2022,0.0,0.0,0.0
132,Jillian Freyman,Ithaca College,9.6,7.158108108108107,2022,9.675,9.382,9.575
133,Brooke Burkhart,Southern Conn.,9.45,7.484090909090908,2022,9.775,9.637,9.73
134,Caitlyn Allen,West Chester,9.375,7.020192307692308,2022,9.675,9.575,9.64
135,Madison Zimmerman,Ursinus College,9.375,7.451136363636362,2022,9.575,9.364,9.34
136,Daria Gregory,Ursinus College,9.05,7.016346153846153,2022,0.0,0.0,0.0
137,Gabrielle Nadler,Cortland State,9.1,4.964285714285714,2022,0.0,0.0,0.0
138,Heidi Hartje,West Virginia,9.65,6.969117647058823,2022,9.8,9.8,0.0
139,Alyssa Wilson,Central Michigan,9.1,8.958333333333334,2011,0.0,0.0,0.0
140,Kailey Ferri,Rhode Island College,9.2,6.745588235294117,2022,9.35,9.238,9.265
141,Olivia Stinnette,Brockport,9.0,8.9,2022,0.0,0.0,0.0
142,Catherine Bare,William & Mary,9.4,3.308928571428571,2022,9.675,9.638,0.0
143,Anna Hill,Temple,9.675,7.260606060606059,2022,9.85,9.756,9.8
144,Kaitlin Garcia,Oregon State,9.7,7.684090909090909,2022,9.85,9.806,0.0
145,Angel Lee,Southern Conn.,9.45,6.716250000000001,2022,0.0,0.0,0.0
146,Gabrielle Jorden,Bridgeport,9.4,7.458333333333333,2022,0.0,0.0,0.0
147,Taylor Gull,Southern Utah,9.025,5.057142857142857,2022,0.0,0.0,0.0
148,Megan Workman,Southern Conn.,9.0,6.897222222222222,2022,8.95,8.95,0.0
149,Elia Aird,Rutgers,9.825,6.515000000000001,2022,0.0,0.0,0.0
150,Maddie Jones,Arkansas,9.25,9.2125,2022,0.0,0.0,0.0
151,Alana Laster,Illinois State,9.85,7.51388888888889,2022,9.95,9.77,9.875
152,Janelle Lopez,S.E. Missouri,9.8,7.419,2022,9.75,9.26,0.0
153,Makenzie Wilson,Kentucky,10.0,7.605714285714286,2022,9.875,9.823,9.835
154,Sarah Wilson,Yale,9.425,7.009374999999999,2022,9.675,9.568,9.635
155,Chloe Armentor,Centenary College,9.6,6.843421052631578,2022,0.0,0.0,0.0
156,Emma Lavelle,Centenary College,9.175,7.6375,2022,9.575,9.45,9.45
157,Emma Brkljacic,Northern Illinois,9.575,6.940624999999999,2022,0.0,0.0,0.0
158,Ashley Morgan,Stanford,9.325,6.033333333333333,2010,9.925,9.788,9.885
159,Emma Davies,Pennsylvania,9.75,7.277941176470588,2022,9.725,9.67,0.0
160,Peyton Childs,North Carolina State,9.575,5.181521739130435,2022,0.0,0.0,0.0
161,Olivia Williams,Bowling Green,9.275,5.027777777777778,2021,9.75,9.61,0.0
162,Libby Allen,Southern Conn.,9.45,6.778125000000001,2022,9.3,9.3,0.0
163,Molly Froman,Southern Conn.,9.4,6.873076923076924,2022,0.0,0.0,0.0
164,Emma Brittingham,UW-Stout,9.15,5.3075,2022,0.0,0.0,0.0
165,Erica Cooper,Ball State,9.5,7.186184210526315,2022,0.0,0.0,0.0
166,Nicole Jackson,Brockport,9.55,6.3109375,2019,9.825,9.498,9.68
167,Grace Anne Davis,Missouri,9.75,5.392857142857143,2022,9.875,9.779,9.82
168,Mya Pringle,Rutgers,9.75,5.385576923076923,2022,0.0,0.0,0.0
169,Isabelle Schaefer,North Carolina,9.65,5.7154411764705895,2022,9.825,9.785,0.0
170,Brynne Tsipis,Kent State,9.625,7.245370370370369,2022,9.75,9.75,0.0
171,Marissa Jencks,Minnesota,9.65,7.127884615384617,2022,9.825,9.744,0.0
172,Alexa Ebeling,Iowa,9.525,7.390000000000001,2022,0.0,0.0,0.0
173,Halle Rourke,Nebraska,9.35,6.82,2022,0.0,0.0,0.0
174,Carley Scott,Lindenwood,9.225,6.112179487179487,2022,0.0,0.0,0.0
175,Camdyn McSweeney,Winona State,9.3,6.5552631578947365,2022,0.0,0.0,0.0
176,Anne Marie Kuebler,William & Mary,9.125,9.05,2022,0.0,0.0,0.0
177,Ellery Werner,Northern Illinois,0.0,0.0,2022,0.0,0.0,0.0
178,Ella Binfet,Gustavus Adolphus,0.0,0.0,2022,0.0,0.0,0.0
179,Molly Arnold,Utah State,9.5,7.024305555555555,2022,9.85,9.76,9.81
180,Eliza Millar,BYU,9.0,2.2934210526315786,2022,0.0,0.0,0.0
181,Nikki Beckwith,Penn State,9.475,5.737500000000001,2022,0.0,0.0,0.0
182,Lia Kmieciak,Central Michigan,9.775,5.509615384615384,2022,9.8,9.742,0.0
183,Gianna Antonio,Eastern Michigan,9.05,6.651249999999998,2022,0.0,0.0,0.0
184,Sarah Kuper,William & Mary,9.5,6.85,2022,9.6,9.522,9.555
185,Alana Anderson,Northern Illinois,9.425,5.352499999999999,2022,0.0,0.0,0.0
186,Molly Freeman,Western Michigan,9.3,5.133928571428572,2022,0.0,0.0,0.0
187,Mia Lucero,UW-Oshkosh,9.65,4.632499999999999,2022,9.675,9.516,9.59
188,Lucy Lehman,North Carolina State,9.825,7.307352941176471,2022,9.825,9.735,0.0
189,Lexi Bornhorn,Bowling Green,9.35,4.959090909090909,2022,9.475,9.475,0.0
190,Avah Anthes,Central Michigan,9.5,7.729166666666667,2022,9.85,9.748,9.76
191,Kristina Rodriguez,West Chester,9.275,6.6499999999999995,2022,9.65,9.567,0.0
192,Baylie Lawrence,Bowling Green,9.375,6.151923076923079,2022,0.0,0.0,0.0
193,Lili Guy,Gustavus Adolphus,9.5,5.6125,2022,0.0,0.0,0.0
194,Sophie Chandler,William & Mary,9.375,7.596153846153847,2022,9.575,9.491,9.495
195,Laken Sooy,Brockport,9.475,6.86875,2022,9.55,9.5,0.0
196,Katelyn Nels,William & Mary,9.225,7.2124999999999995,2022,0.0,0.0,0.0
197,Delaney Cienkus,UW-Oshkosh,9.125,5.791176470588235,2022,9.425,9.425,0.0
198,Steph Macasu,Towson,0.0,0.0,2022,0.0,0.0,0.0
199,Sarah Wozniak,William & Mary,9.3,4.135416666666666,2022,0.0,0.0,0.0
200,Alyssa Guns,Kent State,9.6,6.147222222222221,2022,9.875,9.736,9.82
201,Ellie Cacciola,Southern Utah,9.9,7.392857142857144,2022,9.775,9.525,0.0
202,Clara Hong,Towson,9.65,6.623809523809524,2022,9.525,9.525,0.0
203,Jessica Taylor,UW-La Crosse,9.325,5.760714285714284,2022,9.5,9.5,0.0
204,Katie Kuenemann,Nebraska,9.575,6.56,2022,9.7,9.7,0.0
205,Kira Sanchez,LIU,9.375,6.473214285714285,2022,9.675,9.258,0.0
206,Leilani Zander,Air Force,9.225,4.754761904761906,2022,0.0,0.0,0.0
207,Emily Six,Texas Woman's,9.65,6.346153846153847,2022,9.75,9.675,0.0
208,Catherine Aucoin,Bridgeport,8.95,7.2749999999999995,2022,9.1,8.646,8.555
209,Carissa Martinez,Centenary College,9.625,6.191666666666666,2022,0.0,0.0,0.0
210,Alisha Anderson,Hamline,9.35,9.2,2009,9.2,9.0,0.0
211,Megan Matteucci,Ursinus College,9.25,6.5625,2022,0.0,0.0,0.0
212,Lauren Hsu,Michigan State,9.825,7.790909090909091,2022,9.9,9.763,9.845
213,Micheala Gentry,San Jose State,9.675,5.2025,2022,9.825,9.732,9.755
214,Elizabeth Blessley,Ithaca College,8.95,6.783333333333334,2022,0.0,0.0,0.0
215,Lauren Pearl,Minnesota,9.825,7.180357142857143,2022,0.0,0.0,0.0
216,Delaney LaViolette,Springfield College,9.2,6.226470588235294,2022,9.55,9.425,9.455
217,Katrina Mendez Abolnik,Bowling Green,9.75,6.535937499999999,2022,9.85,9.761,9.8
218,Elise Tisler,Towson,9.7,6.151470588235295,2022,9.825,9.771,9.82
219,Grace Anne Davis,Missouri,9.65,7.318055555555554,2022,9.875,9.779,9.82
220,Bryce Stoltz,Winona State,9.125,6.8966666666666665,2022,9.575,9.194,9.245
221,Madison Dorunda,Temple,9.65,7.389423076923077,2022,0.0,0.0,0.0
222,Oren Aviad,Yale,9.5,9.5,2022,9.825,9.358,9.655
223,Jordyn Paradise,Alabama,9.95,6.7928571428571445,2022,9.95,9.849,9.865
224,Kielyn McCright,Utah State,9.275,4.479166666666667,2022,0.0,0.0,0.0
225,Erin Davis,Nebraska,9.2,8.908333333333333,2009,10.0,9.88,9.96
226,Alayna Fern,UW-Whitewater,9.575,4.565625000000001,2022,9.425,8.967,8.875
227,Samantha Zeilinger,UW-Oshkosh,9.175,6.410714285714286,2022,8.825,8.825,0.0
228,Emerson Adams,Texas Woman's,9.7,6.769827586206895,2022,9.9,9.75,9.83
229,Bailey Thomas,UW-Eau Claire,8.85,8.7,2022,9.15,8.894,0.0
230,Elaina McGovern,Boise State,9.6,6.243382352941176,2022,0.0,0.0,0.0
231,Simone Dumas-Guzman,Sacramento State,9.35,7.2725,2022,0.0,0.0,0.0
232,Emma Lewis,Eastern Michigan,9.575,5.675,2022,9.75,9.63,0.0
233,Halle Faulkner,Western Michigan,9.85,6.419318181818183,2022,9.875,9.781,9.79
234,Heidi Schooley,BYU,9.325,7.746153846153846,2022,0.0,0.0,0.0
235,Shreya Munshi,Southern Conn.,9.1,6.947222222222222,2022,0.0,0.0,0.0
236,Sarah Shaffer,Arkansas,9.875,6.223026315789474,2018,9.925,9.816,9.88
237,Grace Montague,Ithaca College,8.9,4.852777777777778,2022,0.0,0.0,0.0
238,Rebekah Smith,Hamline,9.725,6.2625,2011,9.05,8.894,8.905
239,Rylee Gallmeyer,Western Michigan,9.25,5.4037500000000005,2022,0.0,0.0,0.0
240,Sidney Wilson,Southern Conn.,9.6,6.283333333333333,2022,9.775,9.558,9.63
241,Andrea O'Connell,UW-Eau Claire,8.925,4.825,2022,9.475,9.225,9.175
242,Gabriella Meccia,Air Force,9.65,7.213888888888889,2022,9.75,9.597,9.71
243,Deiah Moody,Washington,9.7,4.6589285714285715,2022,0.0,0.0,0.0
244,Madelyn Williams,California,9.8,6.379032258064515,2022,9.85,9.809,9.82
245,Alyssa Wiggins,Bridgeport,9.65,7.46625,2022,9.425,9.225,0.0
246,Rachel Katz,George Washington,9.875,7.896875,2022,9.85,9.771,9.83
247,Isabella Sissi,Northern Illinois,9.65,5.703676470588236,2022,9.8,9.736,9.755
248,Ellery Werner,Northern Illinois,0.0,0.0,2022,0.0,0.0,0.0
249,Athlyn Drage,Maryland,9.7,4.735227272727273,2022,0.0,0.0,0.0
250,Ella Binfet,Gustavus Adolphus,0.0,0.0,2022,0.0,0.0,0.0
251,Katie Sawyer,Michigan State,9.8,9.433333333333334,2022,9.7,9.7,0.0
252,Gillian Cummins,UW-Stout,9.05,6.7,2022,9.4,9.344,0.0
253,Marlee York,George Washington,9.95,7.251315789473684,2022,9.85,9.763,9.78
254,Anne Marie Kuebler,William & Mary,9.2,7.0928571428571425,2022,0.0,0.0,0.0
255,Taija Wells,Sacramento State,9.6,6.620588235294117,2022,9.725,9.613,0.0
256,Sage Thompson,Utah,9.8,6.927702702702703,2022,9.8,9.77,0.0
257,Gabrielle Stephen,Michigan State,9.875,7.383653846153846,2022,9.95,9.868,9.9
258,Ayzhia Hall,Nebraska,9.85,7.002083333333334,2022,9.85,9.734,9.8
259,Lainey Hunt,Texas Woman's,9.45,6.010714285714285,2022,0.0,0.0,0.0
260,Taylor Schulze,Brown,9.35,5.430555555555555,2022,0.0,0.0,0.0
261,Jordan Coleman,West Chester,9.325,7.6326923076923086,2022,0.0,0.0,0.0
262,Jacey Vore,Michigan,9.9,7.177777777777777,2022,0.0,0.0,0.0
263,Jewel Clark,Temple,9.275,5.2250000000000005,2022,0.0,0.0,0.0
264,Sophia Konieczny,San Jose State,9.5,5.499,2022,0.0,0.0,0.0
265,Macy Jennings,North Carolina State,9.5,6.375000000000001,2022,0.0,0.0,0.0
266,Emma Malabuyo,UCLA,9.75,6.270833333333334,2022,9.875,9.798,9.825
267,Sara Beck,UW-La Crosse,9.375,7.192857142857144,2022,9.575,9.389,9.445
268,Emma Grace Sargent,Brockport,9.3,9.125,2022,9.775,9.633,9.645
269,Karsyn Foster,LIU,9.825,6.4234375,2022,9.825,9.536,9.61
270,Emelia Diaz,Southern Conn.,9.025,5.816666666666666,2022,0.0,0.0,0.0
271,Sarah Cohen,Georgia,9.725,7.416666666666668,2022,0.0,0.0,0.0
272,Kaylee Cooper,Lindenwood,9.5,5.376,2022,0.0,0.0,0.0
273,Isabella Hughes,Rutgers,9.675,6.51875,2022,9.825,9.738,9.775
274,Ella Wilson,UW-Oshkosh,9.525,7.796153846153846,2022,0.0,0.0,0.0
275,Brianna Weikel,Hamline,0.0,0.0,2022,0.0,0.0,0.0
276,Mikelle Ballard,Utah State,9.3,6.935810810810811,2021,0.0,0.0,0.0
277,Delanie Harkness,Michigan State,9.575,5.291891891891892,2021,9.775,9.75,0.0
278,Breckin Quoss,Western Michigan,9.425,1.3464285714285715,2022,0.0,0.0,0.0
279,Alyssa Al-Ashari,Northern Illinois,9.7,4.756730769230768,2021,0.0,0.0,0.0
280,Olivia Weir,Maryland,9.775,6.82986111111111,2021,9.875,9.785,9.82
281,Nicole Wojcik,Lindenwood,9.6,6.256,2021,9.6,9.25,0.0
282,Ellen Collins,West Virginia,9.6,7.104411764705882,2021,9.55,9.538,0.0
283,Caroline Cascadden,West Chester,9.75,6.852777777777778,2022,0.0,0.0,0.0
284,Jennifer Miller,Wilson College,9.1,5.515625000000001,2012,8.875,8.475,8.625
285,Jessica Johnson,Hamline,9.15,4.925,2009,8.675,8.675,0.0
286,Mia Rose Thackston,Temple,9.05,9.025,2021,9.65,9.65,0.0
287,Silje Hildebrand,Alaska,9.1,5.415,2022,9.525,9.256,9.345
288,Jena Swanson,Missouri,9.675,7.250961538461538,2021,9.9,9.629,9.575
289,Naomi Morrison,Michigan,9.95,7.396710526315791,2021,9.975,9.885,9.965
290,Quinn Smith,Oklahoma,9.925,8.036458333333334,2021,9.775,9.762,0.0
291,Lauren Macpherson,San Jose State,9.75,7.213461538461538,2021,9.825,9.772,9.8
292,Torri Tavenner,Sacramento State,9.625,7.355263157894738,2022,9.8,9.695,9.73
293,Anna Bramblett,BYU,9.775,7.336764705882352,2022,0.0,0.0,0.0
294,Halli Mayberry,Arizona,9.4,5.472499999999999,2021,9.8,9.643,9.625
295,Kaylie Berens,UW-Oshkosh,9.3,6.918333333333332,2021,9.375,9.263,0.0
296,Kiersten Belkoff,Pennsylvania,9.825,7.497916666666667,2022,9.875,9.714,9.815
297,Madison Kirsch,San Jose State,9.525,7.411290322580645,2021,9.9,9.794,9.885
298,Kiara Bruening,UW-Stout,9.225,6.3675,2021,9.55,9.467,0.0
299,Megan Decious,Bowling Green,0.0,0.0,2021,0.0,0.0,0.0
300,Mary Won,Sacramento State,9.65,6.977083333333334,2022,9.8,9.597,9.715
301,Courtney Blackson,Boise State,9.975,6.488235294117648,2021,9.95,9.819,9.875
302,Marisa Zepeda,UW-La Crosse,9.175,8.930000000000001,2021,0.0,0.0,0.0
303,Nandhini Senthil,UC Davis,9.375,6.0569444444444445,2022,0.0,0.0,0.0
304,Jaudai Lopes,San Jose State,9.65,5.896000000000001,2021,9.925,9.773,9.855
305,Madeline Gose,Texas Woman's,9.7,6.79375,2021,9.875,9.772,9.847
306,Kendra Smaby,Gustavus Adolphus,9.075,3.7937499999999997,2021,0.0,0.0,0.0
307,Brenna Neault,Stanford,9.875,7.671249999999999,2022,9.875,9.769,9.805
308,Angelina Bohn,Cortland State,8.75,8.370000000000001,2022,0.0,0.0,0.0
309,Lauren Ono,BYU,9.7,7.154687499999999,2022,0.0,0.0,0.0
310,Lauren Thomas,Washington,9.625,6.4508064516129044,2021,9.6,9.55,0.0
311,Abbie Thompson,Cornell,9.825,7.3929347826086955,2013,9.8,9.667,0.0
312,Gianna Ortiz,Rutgers,9.6,6.571666666666667,2022,0.0,0.0,0.0
313,Baleigh Garcia,Michigan State,9.8,7.123214285714285,2021,9.9,9.813,9.835
314,Nicole Riccardi,Ohio State,9.85,7.585937500000001,2021,9.875,9.779,9.825
315,Emily Koch,Minnesota,9.55,6.78421052631579,2021,9.875,9.743,9.797
316,Kyla Dickson,UW-La Crosse,9.25,9.175,2022,9.525,9.404,9.395
317,Marcela Bonifasi,Alaska,9.175,4.029545454545454,2022,0.0,0.0,0.0
